LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
2.252000E+3	2.254429E+3	2.446767E+0	1.460990E+1	6.579147E-2
2.253000E+3	2.254498E+3	2.469395E+0	1.463505E+1	6.636071E-2
2.254000E+3	2.254569E+3	2.519657E+0	1.466022E+1	6.767350E-2
2.255000E+3	2.254643E+3	2.599743E+0	1.468538E+1	6.977304E-2
2.256000E+3	2.254723E+3	2.714547E+0	1.471047E+1	7.277041E-2
2.257000E+3	2.254812E+3	2.872366E+0	1.473543E+1	7.686342E-2
2.258000E+3	2.254911E+3	3.085687E+0	1.476015E+1	8.235892E-2
2.259000E+3	2.255029E+3	3.371961E+0	1.478452E+1	8.969607E-2
2.260000E+3	2.255170E+3	3.754206E+0	1.480831E+1	9.946667E-2
2.261000E+3	2.255349E+3	4.261289E+0	1.483122E+1	1.124272E-1
2.262000E+3	2.255583E+3	4.927762E+0	1.485278E+1	1.294982E-1
2.263000E+3	2.255900E+3	5.793089E+0	1.487224E+1	1.517442E-1
2.264000E+3	2.256342E+3	6.899739E+0	1.488848E+1	1.803230E-1
2.265000E+3	2.256976E+3	8.288845E+0	1.489981E+1	2.163702E-1
2.266000E+3	2.257893E+3	9.991023E+0	1.490375E+1	2.607577E-1
2.267000E+3	2.259225E+3	1.200886E+1	1.489686E+1	3.136335E-1
2.268000E+3	2.261133E+3	1.428814E+1	1.487481E+1	3.736598E-1
2.269000E+3	2.263789E+3	1.668025E+1	1.483295E+1	4.370093E-1
2.270000E+3	2.267316E+3	1.891350E+1	1.476792E+1	4.965743E-1
2.271000E+3	2.271687E+3	2.061225E+1	1.468020E+1	5.424235E-1
2.272000E+3	2.276647E+3	2.140274E+1	1.457631E+1	5.645521E-1
2.273000E+3	2.281735E+3	2.108150E+1	1.446835E+1	5.573419E-1
2.274000E+3	2.286436E+3	1.973038E+1	1.436992E+1	5.226818E-1
2.275000E+3	2.290385E+3	1.767397E+1	1.429087E+1	4.689473E-1
2.276000E+3	2.293453E+3	1.531857E+1	1.423480E+1	4.067972E-1
2.277000E+3	2.295709E+3	1.300413E+1	1.420008E+1	3.452438E-1
2.278000E+3	2.297316E+3	1.094410E+1	1.418252E+1	2.900161E-1
2.279000E+3	2.298452E+3	9.236177E+0	1.417750E+1	2.438126E-1
